brand,moldName,brandSlug,canonicalMold
ABC Discs,Money Putter,abc-discs,moneyputter
Above Ground Level,Baobab,above-ground-level,baobab
Above Ground Level,Beech,above-ground-level,beech
Above Ground Level,Cedar,above-ground-level,cedar
Above Ground Level,Douglas Fir,above-ground-level,douglasfir
Above Ground Level,Elm,above-ground-level,elm
Above Ground Level,Koa,above-ground-level,koa
Above Ground Level,Locust,above-ground-level,locust
Above Ground Level,Madrone,above-ground-level,madrone
Above Ground Level,Magnolia,above-ground-level,magnolia
Above Ground Level,Manzanita,above-ground-level,manzanita
Above Ground Level,Maple,above-ground-level,maple
Above Ground Level,Ponderosa,above-ground-level,ponderosa
Above Ground Level,Redwood,above-ground-level,redwood
Above Ground Level,Sequoia,above-ground-level,sequoia
Above Ground Level,Spruce,above-ground-level,spruce
Above Ground Level,Sycamore,above-ground-level,sycamore
AquaFlight,Dragonfly,aquaflight,dragonfly
AquaFlight,Osprey,aquaflight,osprey
AquaFlight,Peace Frog,aquaflight,peacefrog
AquaFlight,Pelican,aquaflight,pelican
AquaFlight,Swift,aquaflight,swift
Axiom Discs,Balance,axiom-discs,balance
Axiom Discs,Bokeh,axiom-discs,bokeh
Axiom Discs,Crave,axiom-discs,crave
Axiom Discs,Defy,axiom-discs,defy
Axiom Discs,Delirium,axiom-discs,delirium
Axiom Discs,Envy,axiom-discs,envy
Axiom Discs,Excite,axiom-discs,excite
Axiom Discs,Fireball,axiom-discs,fireball
Axiom Discs,Hex,axiom-discs,hex
Axiom Discs,Insanity,axiom-discs,insanity
Axiom Discs,Mayhem,axiom-discs,mayhem
Axiom Discs,Panic,axiom-discs,panic
Axiom Discs,Paradox,axiom-discs,paradox
Axiom Discs,Pitch,axiom-discs,pitch
Axiom Discs,Pixel,axiom-discs,pixel
Axiom Discs,Proxy,axiom-discs,proxy
Axiom Discs,Pyro,axiom-discs,pyro
Axiom Discs,Rhythm,axiom-discs,rhythm
Axiom Discs,Tantrum,axiom-discs,tantrum
Axiom Discs,Tempo,axiom-discs,tempo
Axiom Discs,Tenacity,axiom-discs,tenacity
Axiom Discs,Thrill,axiom-discs,thrill
Axiom Discs,Time-Lapse,axiom-discs,timelapse
Axiom Discs,Time-Lapse (Retooled),axiom-discs,timelapseretooled
Axiom Discs,Trance,axiom-discs,trance
Axiom Discs,Uplink,axiom-discs,uplink
Axiom Discs,Vanish,axiom-discs,vanish
Axiom Discs,Virus,axiom-discs,virus
